Artist;Title;Year;Orchestra;Conductor;Genre;Format;Label;Catalog Number;Reissue;Mode;DBX
Krupa, Gene And His Orchestra;Gene Krupa;1949;;;Jazz;LP;Columbia;CL 6017;;M;
Herman, Woody  And His Third Herd;Dance Date On Mars;1952;;;Jazz;LP;Mars;MRLP-1;;M;
Herman, Woody and the Herd;At Carnegie Hall, 1946 - Vol. I;1952;;;Jazz;LP;MGM Records;E-158;;M;
Grofé, Ferde;Grand Canyon Suite / El Salon Mexico;1955;Boston Pops Orchestra;Fiedler, Arthur;Symphonic;LP;RCA Victor Red Seal;LM-1928;;M;
Kenton, Stan  And His Orchestra;Stan Kenton  Presents;1955;;;Jazz;LP;Capitol Records;L-248;;S;
Winding, Kai All Stars;Modern Jazz Spectacular;1955;;;Jazz;LP;Jazztone;J-1231;;M;
Burrell, Kenny;Introducing Kenny Burrell;1956;;;Jazz;LP;Blue Note;BLP 1523;;M;
Tjader, Cal Quartet;Cal Tjader Quartet;1956;;;Jazz;LP;Fantasy;3-227;;M;
Various;Volume VIII - The Jazz Greats: Drum Role;1956;;;Jazz;LP;EmArcy;MG 36071;;S;
Davis, Miles;Bags' Groove;1957;;;Jazz;LP;Prestige;7109;;M;
Krupa, Gene;Krupa And Rich;1957;;;Jazz;LP;Verve Records;MGV-8069;;M;
Krupa, Gene;Krupa Rocks;1957;;;Jazz;LP;Verve Records;MGV-8276;;M;
Krupa, Gene;Krupa And Rich;1957;;;Jazz;LP;Verve Records;MG V-8069;;M;
Krupa, Gene Trio;Drum Boogie;1957;;;Jazz;LP;Verve Records;MGV-8087;Y;M;
Parker, Charlie;Bird And Diz;1957;;;Jazz;LP;Verve Records;MGV-8006;;M;
Adams, Pepper Quintet;10 To 4 At The 5-Spot;1958;;;Jazz;LP;Riverside Records;RLP 12-265;;M;
Bert, Eddie;Like Cool;1958;;;Jazz;LP;Somerset;P-5200;Y;M;
Grofé, Ferde;Grand Canyon Suite;1958;The Philadelphia Orchestra;Ormandy, Eugene;Symphonic;LP;Columbia Masterworks;ML 5286;;M;
Krupa, Gene And His Orchestra;Mutiny In The Parlor;1958;;;Jazz;LP;RCA Camden;CAL-340;;M;
Monk, Thelonious Quartet;Thelonious In Action;1958;;;Jazz;LP;Riverside Records;RLP 12-262;;M;
Various;The Sound Of Jazz;1958;;;Jazz;LP;Columbia;CL 1098;;M;
Various;Jazz Confidential;1958;;;Jazz;LP;Crown Records;CLP 5056;;M;
Various;Jazz All Stars;1958;;;Jazz;LP;Halo;50229;;S;
Various;Jazz;1958;;;Jazz;LP;Halo;50242;;S;
Davis, Miles;Kind Of Blue;1959;;;Jazz;CD;Columbia;CK 40579;Y;S;
Davis, Miles;Kind Of Blue;1959;;;Jazz;LP;Columbia;CL 1355;;M;
Hampton, Lionel;Golden Vibes;1959;;;Jazz;LP;Columbia;CS 8110;;S;
Krupa, Gene;Big Noise From Winnetka - Gene Krupa At The London House;1959;;;Jazz;LP;Verve Records;MG V-8310;;M;
Mancini, Henry;The Music From Peter Gunn;1959;;;Jazz;LP;RCA Victor;LSP-1956;;S;
Mingus, Charles;Mingus Ah Um;1959;;;Jazz;LP;Columbia;CL 1370;;M;
Roach, Max;Deeds, Not Words;1959;;;Jazz;LP;Riverside Records;RLP 1122;Y;S;
Haydn, Joseph;"Symphony No. 94 ""Surprise"" · Symphony No. 103 ""Drum-Roll""";1960;Philharmonica Hungaria;Dorati, Antal;Symphonic;LP;Mercury;SR90208;;S;
Krupa, Gene;The Drum Battle (Gene Krupa And Rich, Buddy  At JATP);1960;;;Jazz;LP;Verve Records;MG v-8369;Y;S;
Mozart, Wolfgang Amadeus;"Symphonien Nr. 35 ""Haffner"" / Nr. 32 G-dur (in G Major) / Nr. 38 ""Prager""";1960;Berlin Philharmoniker;Bohm, Karl;Symphonic;LP;Deutsche Grammophon;138 112 SLPM;;S;
Mulligan, Gerry;The Concert Jazz Band;1960;;;Jazz;LP;Verve Records;MG VS-68388;;S;
Blakey, Art & The Jazz Messengers;A Night In Tunisia;1961;;;Jazz;LP;Blue Note;BLP 4049;;M;
Blakey, Art & The Jazz Messengers;Art Blakey & The Jazz Messengers;1961;;;Jazz;LP;Impulse!;A-7;;M;
Brubeck, Dave Quartet The;Time Out;1961;;;Jazz;LP;Columbia;CL 1397;Y;M;
Davis, Miles;In Person, Saturday Night At The Blackhawk, San Francisco, Volume II;1961;;;Jazz;LP;Columbia;CL 1670;;M;
Davis, Miles;In Person, Friday Night At The Blackhawk, San Francisco, Volume I;1961;;;Jazz;LP;Columbia;CL-1669;;M;
Jackson, Milt;Bags & Trane;1961;;;Jazz;LP;Atlantic;1368;;M;
Krupa, Gene;Percussion King;1961;;;Jazz;LP;Verve Records;V-8414;;S;
Mulligan, Gerry;Nightwatch;1961;;;Jazz;LP;United Artists Records;UAL 4085;;M;
Mulligan, Gerry & The Concert Jazz Band;Gerry Mulligan Presents A Concert In Jazz;1961;;;Jazz;LP;Verve Records;V6-8415;;S;
Parker, Charlie;"The Happy ""Bird""";1961;;;Jazz;LP;Charlie Parker Records;PLP-404;;M;
Rachmaninoff, Sergei Vasilyevich;Piano Concerto No. 3;1961;London Symphony Orchestra;Dorati, Anton;Symphonic;LP;Mercury Living Presence;SR90283;;S;
Ammons, Gene;Boss Tenors: Straight Ahead From Chicago August 1961;1962;;;Jazz;LP;Verve Records;V-8426;;M;
Beethoven, Ludwig van;Violin Concerto (in D);1962;Boston Symphony Orchestra/Heifetz, Jaschka;Munch, Charles;Symphonic;LP;RCA Victor Red Seal;LSC-1992;Y;S;
Brubeck, Dave Quartet The;Time Further Out (Miro Reflections);1962;;;Jazz;LP;Columbia;CL 1690;Y;M;
Brubeck, Dave Quartet The;Countdown Time in Outer Space;1962;;;Jazz;LP;Columbia;CS 8575;;S;
Hamilton, Chico Quintet The;Drumfusion;1962;;;Jazz;LP;Columbia;CL 1807;;S;
Jackson, Milt;Big Bags;1962;Milt Jackson Orcehstra;;Jazz;LP;Riverside Records;RLP 429;;S;
Krupa, Gene;The Original Drum Battle!;1962;;;Jazz;LP;Verve Records;V6-8484;Y;S;
Mann, Herbie;Herbie Mann At The Village Gate;1962;;;Jazz;LP;Atlantic;ATLANTIC 1380;;M;
Rollins, Sonny;The Bridge;1962;;;Jazz;LP;RCA;LSP-2527;;S;
Adderley, Cannonball Sextet;Jazz Workshop Revisited;1963;;;Jazz;LP;Riverside Records;RM 444;;M;
Basie, Count Orchestra;The Best Of Count Basie;1963;;;Jazz;LP;Decca;DXSB-7170;;S;
Coltrane, John;Impressions;1963;;;Jazz;LP;Impulse!;A-42;;M;
Gillespie, Dizzy;Something Old, Something New;1963;;;Jazz;LP;Philips;PHM 200-091;;M;
Hamilton, Chico;The Great Chico Hamilton;1963;;;Jazz;LP;Crown Records;CLP 5341;;M;
Terry, Clark Sextet;More (Theme From Mondo Cane);1963;;;Jazz;LP;Cameo;C-1064;;M;
Brubeck, Dave Quartet The;Dave Brubeck Quartet, Paul Desmond Quartet, Cal Tjader;1964;;;Jazz;LP;Crown Records;CLP 5406;;M;
Gillespie, Dizzy;The Cool World (Original Score);1964;;;Jazz;LP;Philips;PHM 200-138;;M;
Terry, Clark;Tread Ye Lightly;1964;;;Jazz;LP;Cameo;SC-1071;;S;
Brubeck, Dave Quartet The;Jazz Impressions Of New York;1965;;;Jazz;LP;Columbia;CS 9075;;S;
Burrell, Kenny;Guitar Forms;1965;;;Jazz;LP;Verve Records;V6-8612;;S;
Coltrane, John;A Love Supreme;1965;;;Jazz;LP;Impulse!;GR-155;Y;S;
Grusin, Dave;Kaleidoscope;1965;;;Jazz;LP;Columbia;CS 9144;;S;
Guaraldi, Vince Trio;Jazz Impressions Of Black Orpheus;1965;;;Jazz;LP;Fantasy;3337;;S;
Rich, Buddy;Swingin' New Big Band;1966;;;Jazz;LP;Pacific Jazz;PJ-10113;;S;
Burrell, Kenny;Ode To 52nd Street;1967;;;Jazz;LP;Cadet;LPS-798;;S;
Davis, Miles;Sorcerer;1967;;;Jazz;LP;Columbia;CS 9532;;M;
Griffin , Ken;Ebb Tide;1967;;;Jazz;LP;Harmony;HL 7426;;S;
Lewis, Ramsey;Dancing In The Street;1967;;;Jazz;LP;Cadet;LPS 794;;S;
Masekela, Hugh;Is Alive And Well At The Whiskey;1967;;;Jazz;LP;UNI Records;73015;;S;
Montgomery, Wes;California Dreaming;1967;;;Jazz;LP;Verve Records;V6-8672;;S;
Montgomery, Wes;The Best Of Wes Montgomery;1967;;;Jazz;LP;Verve Records;V6-8714;;S;
Rich, Buddy  And His Orchestra;Big Band Shout: Rich, Buddy  And His Orchestra Play Count Basie;1967;;;Jazz;LP;Verve Records;V6-8712;Y;S;
Rich, Buddy  Big Band;Big Swing Face;1967;;;Jazz;LP;Pacific Jazz;ST-20117;;S;
Swingle, Les Singers;Encounter: The Swingle Singers Perform With Modern Jazz Quartet, The;1967;;;Jazz;LP;Philips;PHM 200-225;;S;
Szabo, Gabor;The Sorcerer;1967;;;Jazz;LP;Impulse!;A-9146;;S;
Szabo, Gabor;More Sorcery;1967;;;Jazz;LP;Impulse!;A-9167;;S;
Szabo, Gabor;Jazz Raga;1967;;;Jazz;LP;Impulse!;A-9128;;S;
Berlioz, Hector;New Philharmonia Orchesrta;1968;New Philharmonia Orchesrta;;Symphonic;LP;Angel Records;CD-80078;;S;
Copland, Aaron;Billy the Kid/Rodeo/Fanfare For the Common Man;1968;Dallas Symphony Orchesrta;Johanos, Donald;Symphonic;LP;Turnabout;S-36505;;S;
Crusaders, The;Lighthouse '68;1968;;;Jazz;LP;Pacific Jazz;ST-20131;;S;
Herman, Woody And The Thundering Herd;Concerto For Herd;1968;;;Jazz;LP;Verve Records;SW-91633;;S;
Lewis, Ramsey;Maiden Voyage;1968;;;Jazz;LP;Cadet;LPS 811;;S;
Montgomery, Wes;Down Here On The Ground;1968;;;Jazz;LP;A&M Records;SP-3006;;S;
Montgomery, Wes;Road Song;1968;;;Jazz;LP;A&M Records;SP 3012;;S;
Montgomery, Wes;The Best Of Wes Montgomery Vol. 2;1968;;;Jazz;LP;Verve Records;V6-8757;;S;
Nelson, Sandy;Soul Drums;1968;;;Rock;LP;Imperial;LP-12362;;S;
Rich, Buddy;Rich À La Rakha;1968;;;Jazz;LP;World Pacific Records;WPS-21453;;S;
Rich, Buddy  Big Band;The New One!;1968;;;Jazz;LP;Pacific Jazz;ST-20126;;S;
Roach, Max;Deeds Not Words;1968;;;Jazz;LP;Riverside Records;RS-3018;Y;S;
Szabo, Gabor;Bacchanal;1968;;;Jazz;LP;Skye Records;SK-3;;S;
